id	name	latitude	longitude	country	prov_state
5881791	Abbotsford	49.05798	-122.25257	CA	BC
5882142	Acton Vale	45.65007	-72.56582	CA	QC
5882799	Airdrie	51.30011	-114.03528	CA	AB
5882873	Ajax	43.85012	-79.03288	CA	ON
5884083	Alma	48.55009	-71.6491	CA	QC
5884467	Amherst	45.83345	-64.19874	CA	NS
5884473	Amherstburg	42.11679	-83.04985	CA	ON
5884588	Amos	48.56688	-78.11624	CA	QC
5885280	Angus	44.31681	-79.88295	CA	ON
5885383	Anmore	49.31637	-122.85263	CA	BC
5886182	Antigonish	45.61685	-61.99858	CA	NS
5887214	Arnprior	45.43341	-76.34939	CA	ON
5887470	Asbestos	45.76678	-71.9324	CA	QC
5888716	Aylmer	42.76679	-80.98302	CA	ON
5889745	Baie-Comeau	49.21679	-68.14894	CA	QC
5892532	Banff	51.17622	-115.56982	CA	AB
5894171	Barrie	44.40011	-79.66634	CA	ON
5895424	Bay Roberts	47.59989	-53.26478	CA	NL
5895650	Beaconsfield	45.43341	-73.86586	CA	QC
5896495	Beauharnois	45.31341	-73.8725	CA	QC
5896522	Beaumont	53.35013	-113.41871	CA	AB
5897209	Bécancour	46.33336	-72.43241	CA	QC
5897884	Belleville	44.16682	-77.38277	CA	ON
5898070	Bells Corners	45.31588	-75.83012	CA	ON
5898138	Beloeil	45.56678	-73.19915	CA	QC
5903510	Blainville	45.66678	-73.88249	CA	QC
5904501	Bluewater	43.46679	-81.59977	CA	ON
5905132	Boisbriand	45.61678	-73.83249	CA	QC
5905152	Bois-des-Filion	45.66678	-73.74918	CA	QC
5905616	Bonnyville	54.26684	-110.73505	CA	AB
5906267	Boucherville	45.59104	-73.43605	CA	QC
5907092	Bracebridge	45.03341	-79.31633	CA	ON
5907180	Bradford West Gwillimbury	44.11681	-79.61633	CA	ON
5907364	Brampton	43.68341	-79.76633	CA	ON
5907896	Brandon	49.84692	-99.95306	CA	MB
5907983	Brant	43.1334	-80.34967	CA	ON
5907990	Brantford	43.1334	-80.26636	CA	ON
5908723	Bridgewater	44.38345	-64.51546	CA	NS
5909294	Brockville	44.59132	-75.68705	CA	ON
5909403	Bromont	45.31678	-72.64912	CA	QC
5909514	Brooks	50.58341	-111.88509	CA	AB
5909629	Brossard	45.45008	-73.46583	CA	QC
5909969	Brownsburg-Chatham	45.68342	-74.4159	CA	QC
5911592	Burlington	43.38621	-79.83713	CA	ON
