id	name	ascii	alt_name	lat	long	feat_class	feat_code	country	cc2	admin1	admin2	admin3	admin4	population	elevation	dem	tz	modified_at
5881791	Abbotsford	Abbotsford	Abbotsford,YXX,Абботсфорд	49.05798	-122.25257	P	PPL	CA		02	5957659			151683		114	America/Vancouver	2013-04-22
5882142	Acton Vale	Acton Vale		45.65007	-72.56582	P	PPL	CA		10	16			5135		90	America/Montreal	2008-04-11
5882799	Airdrie	Airdrie	Erdri,ai er de li,ayrdray,ayrdry,eeodeuli,Ердри,إيردراي,ائرڈرائ,ایردری,艾尔德里,에어드리	51.30011	-114.03528	P	PPL	CA		01				24673		1086	America/Edmonton	2008-04-11
5882873	Ajax	Ajax	Adzhaks,Ehjdzhaks,Ejdzaks,ajaks, awntaryw,eijegseu,Аджакс,Ејџакс,Эйджакс,أجاكس، أونتاريو,에이젝스	43.85012	-79.03288	P	PPL	CA		08				90167		97	America/Toronto	2011-12-30
5884083	Alma	Alma	Al'ma,Alma,YTF,alma,alma, kbk,alma, kybk,Алма,Альма,آلما,آلما، کبک,ألما، كيبك	48.55009	-71.6491	P	PPL	CA		10	02			29526		90	America/Montreal	2010-01-29
5884467	Amherst	Amherst		45.83345	-64.19874	P	PPL	CA		07				9336		20	America/Halifax	2008-04-11
5884473	Amherstburg	Amherstburg		42.11679	-83.04985	P	PPL	CA		08				11459		183	America/Toronto	2006-01-22
5884588	Amos	Amos	Amos,YEY,amws,amws, kbk,amws, kybk,Амос,آموس، کبک,أموس، كيبك,اموس	48.56688	-78.11624	P	PPL	CA		10	08			17918		298	America/Montreal	2010-09-22
5885280	Angus	Angus		44.31681	-79.88295	P	PPLL	CA		08				10269		193	America/Toronto	2006-01-27
5885383	Anmore	Anmore		49.31637	-122.85263	P	PPL	CA		02	5915			126456		183	America/Vancouver	2013-08-28
5886182	Antigonish	Antigonish		45.61685	-61.99858	P	PPL	CA		07				5003		17	America/Halifax	2008-04-11
5887214	Arnprior	Arnprior		45.43341	-76.34939	P	PPL	CA		08				9607		72	America/Toronto	2008-04-11
5887470	Asbestos	Asbestos		45.76678	-71.9324	P	PPL	CA		10	05			7190		252	America/Montreal	2008-04-11
5888716	Aylmer	Aylmer		42.76679	-80.98302	P	PPL	CA		08				7527		229	America/Toronto	2008-04-11
5889745	Baie-Comeau	Baie-Comeau	Baie-Comeau,Be Komo,Be-Komo,YBC,bay kamyw,bh-kwmw,byh kwmw, kybk,Бе Комо,Бе-Комо,بائ کامیو,به-کومو,بيه كومو، كيبك	49.21679	-68.14894	P	PPL	CA		10	09			29808		76	America/Montreal	2013-08-17
5892532	Banff	Banff	Banf,Banfas,Banff,YBA,baenpeu,ban fu,banfu,banpi,bnf,Банф,Банфф,بنف,ბანფი,バンフ,班夫,밴프	51.17622	-115.56982	P	PPL	CA		01				7502		1388	America/Edmonton	2010-06-24
5894171	Barrie	Barrie	Bari,Baris,Barri,Barrie,Berri,YLK,ba li,baeli,bari,bary,bry,Бари,Барри,Беррі,باري,باری,باری، اونٹاریو,بری,バリー,巴里,배리	44.40011	-79.66634	P	PPL	CA		08				182041		269	America/Toronto	2013-09-22
5895424	Bay Roberts	Bay Roberts		47.59989	-53.26478	P	PPL	CA		05				13737		9	America/St_Johns	2006-01-22
5895650	Beaconsfield	Beaconsfield		45.43341	-73.86586	P	PPL	CA		10				19194		33	America/Montreal	2010-09-22
5896495	Beauharnois	Beauharnois		45.31341	-73.8725	P	PPL	CA		10	16			11918		37	America/Montreal	2013-11-10
5896522	Beaumont	Beaumont		53.35013	-113.41871	P	PPL	CA		01				7366		716	America/Edmonton	2008-04-11
5897209	Bécancour	Becancour	Bekankur,bkankwr, kbk,bykankwr, kybk,byknkwr,Беканкур,بيكانكور، كيبك,بکانکور، کبک,بیکنکور	46.33336	-72.43241	P	PPL	CA		10	04			11134		10	America/Montreal	2010-09-22
5897884	Belleville	Belleville	Bel'vil',Belvil,Bilivailas,belbil,berubiru,bylfy, awntaryw,Белвил,Бельвиль,بيلفي، أونتاريو,بیلول، اونٹاریو,بیلی ولے,ベルビル,벨빌	44.16682	-77.38277	P	PPL	CA		08				49454		93	America/Toronto	2013-04-25
5898070	Bells Corners	Bells Corners	Bells Corners,Ottawa Bells Corners	45.31588	-75.83012	P	PPL	CA		08				9977		96	America/Toronto	2010-03-18
5898138	Beloeil	Beloeil		45.56678	-73.19915	P	PPL	CA		10	16			18927		4	America/Montreal	2010-09-22
5903510	Blainville	Blainville		45.66678	-73.88249	P	PPL	CA		10	15			46493		73	America/Montreal	2010-09-22
5904501	Bluewater	Bluewater		43.46679	-81.59977	P	PPL	CA		08				7044		249	America/Toronto	2013-05-05
5905132	Boisbriand	Boisbriand		45.61678	-73.83249	P	PPL	CA		10	15			26483		30	America/Montreal	2010-09-22
5905152	Bois-des-Filion	Bois-des-Filion		45.66678	-73.74918	P	PPL	CA		10				8383		17	America/Montreal	2010-09-22
5905616	Bonnyville	Bonnyville	Bonivil,YBY,Бонивил	54.26684	-110.73505	P	PPL	CA		01				6003		555	America/Edmonton	2008-04-11
5906267	Boucherville	Boucherville	Bushervil,Bushervil',bushavu~iru,bwshyfyl, kybk,Бушервил,Бушервиль,باؤچرولے,بوشيفيل، كيبك,ブーシャーヴィル	45.59104	-73.43605	P	PPL	CA		10	16			39062		16	America/Montreal	2010-09-22
5907092	Bracebridge	Bracebridge		45.03341	-79.31633	P	PPL	CA		08				8238		240	America/Toronto	2006-01-22
5907180	Bradford West Gwillimbury	Bradford West Gwillimbury		44.11681	-79.61633	P	PPL	CA		08				18811		264	America/Toronto	2008-04-11
5907364	Brampton	Brampton	Brampton,Bramptonas,Bramptono,Bramptun,XPN,barampatana,beulaemteon,braimpatana,brambtwn,bramptan,bramtana,bu lan pu dun,buranputon,piramptan,Брамптон,Брамптън,برامبتون,برامپٹن، انٹاریو,بریمپٹن,ब्राम्टन,ब्रैंपटन,ਬਰਾਂਪਟਨ,பிராம்ப்டன்,బ్రాంప్టన్,ബ്രംപ്ടൺ,බ්‍රැම්ටන්,ブランプトン,布兰普顿,브램턴	43.68341	-79.76633	P	PPL	CA		08				433806		221	America/Toronto	2010-09-22
5907896	Brandon	Brandon	Brandon,Branton,Brehndon,Brendon,YBR,bu lan deng,burandon,Μπράντον,Брандон,Брендон,Брэндон,برینڈن,ブランドン,布兰登	49.84692	-99.95306	P	PPL	CA		03				26234		383	America/Winnipeg	2010-01-29
5907983	Brant	Brant		43.1334	-80.34967	P	PPL	CA		08				34415		245	America/Toronto	2010-09-22
5907990	Brantford	Brantford	Brantford,Brantfordas,XFV,beulaenteupeodeu,brantfwrd, awntaryw,burantofodo,Брантфорд,برانتفورد، أونتاريو,برانٹفورڈ,برینٹفورڈ,ブラントフォード,브랜트퍼드	43.1334	-80.26636	P	PPL	CA		08				87759		200	America/Toronto	2008-04-11
5908723	Bridgewater	Bridgewater		44.38345	-64.51546	P	PPL	CA		07				8070		27	America/Halifax	2008-04-11
